,Unnamed: 0,F/H,sector,society,price,price_per_sqft,total_area(sqft),bedRoom,bathroom,balcony,additionalRoom,address,floorNum,agePossession,furnishing_type,additional_room_count,luxury_score
0,0,1,81,signature global city 81,0.82,8639,949,2,2,3,0.0,"Sector 81, Sector 81 Gurgaon, Gurgaon, Haryana",2.0,New,0,0.0,53
1,1,0,50,unitech nirvana birch court,11.95,36883,3240,3,3,2,"study room,servant room","Nirvana Country, Gurgaon, Haryana",3.0,Relatively Old,0,2.0,101
2,2,1,107,signature global solera,0.28,5674,493,2,2,2,0.0,"Sector 107 Gurgaon, Gurgaon, Haryana",11.0,New,0,0.0,29
3,3,0,5,indepedent,3.5,14787,2367,5,4,2,"pooja room,others","Sector 5 Gurgaon, Gurgaon, Haryana",3.0,Old,0,2.0,36
4,4,0,3,ashok vihar phase iii extension,0.4,8889,450,7,4,3,pooja room,"House No.183, Street Number 7, Ashok Vihar Phase 3 Extension, Gurgaon, Haryana",3.0,Relatively New,0,1.0,7
5,5,1,113,la vida by tata housing,3.72,13984,2660,5,4,3,1.0,"B2 003, Sector 113 Gurgaon , Gurgaon, Haryana",7.0,Relatively New,1,1.0,44
6,6,1,82,mapsko casa bella,0.86,8120,1059,3,3,3,1.0,"Sector-82, Sector 82 Gurgaon, Gurgaon, Haryana",5.0,Relatively Old,2,1.0,120
7,7,1,111,puri diplomatic greens,3.45,11694,2950,4,5,3,1.0,"N/a, Sector 111 Gurgaon, Gurgaon, Haryana",10.0,New,0,1.0,101
8,8,1,47,irwo westend towers,0.65,12059,539,1,1,2,0.0,"301, Sector 47 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,56
9,9,0,67A,4s aradhya homes,1.83,6778,2700,4,4,2,pooja room,"K101, Sector 67A Gurgaon, Gurgaon, Haryana",3.0,Relatively New,2,1.0,145
10,10,1,72,tata primanti,3.85,13253,2905,4,5,3,1.0,"1202, Sector 72 Gurgaon, Gurgaon, Haryana",13.0,New,2,1.0,174
11,11,1,107,m3m woodshire,1.3,8922,1457,3,3,3,1.0,"Dwarka Expressway, Sector 107 Gurgaon, Gurgaon, Haryana",4.0,New,2,1.0,174
12,12,1,56,smriti apartment,0.6,10000,600,1,1,1,0.0,"Sector 56 Gurgaon, Gurgaon, Haryana",2.0,Relatively Old,0,0.0,49
13,13,1,106,paras dews,1.1,9734,1130,3,4,3,1.0,"Sector 106 Gurgaon, Sector 106 Gurgaon, Gurgaon, Haryana",8.0,New,2,1.0,174
14,14,1,72,tata primanti,3.5,11428,3063,4,5,3,2.0,"Tower-1, Higher Floor, Sector 72 Gurgaon, Gurgaon, Haryana",10.0,New,0,2.0,38
15,15,0,37D,signature global city,1.27,8089,1570,3,3,3,pooja room,"Dwarka Expressway, Sector 37D Gurgaon, Gurgaon, Haryana",3.0,Under Construction,0,1.0,89
16,16,1,113,la vida by tata housing,2.78,10334,2690,3,4,3,1.0,"Dwarka Expressway, Sector 113 Gurgaon , Gurgaon, Haryana",5.0,New,0,1.0,174
17,17,1,92,sare crescent parc,1.44,7068,2037,4,4,3,0.0,"Sector 92 Gurgaon, Gurgaon, Haryana",8.0,New,0,0.0,37
18,18,1,83,vatika gurgaon ,1.4,6628,2112,3,3,2,0.0,"Sector 83 Gurgaon, Gurgaon, Haryana",7.0,New,2,0.0,74
19,19,1,69,tulip violet,1.32,8411,1569,3,3,1,1.0,"12th Floor, Sector 69 Gurgaon, Gurgaon, Haryana",12.0,New,2,1.0,86
20,20,0,25,dlf city plots phase 2,6.5,36111,1800,5,5,3,"store room,pooja room,study room,servant room","East Facing Duplex Villa, DLF Phase 2, Gurgaon, Haryana",3.0,Old,2,4.0,134
21,21,1,59,conscient elevate,3.78,16500,2291,3,3,3,0.0,"Sector 59 Gurgaon, Gurgaon, Haryana",3.0,Under Construction,0,0.0,31
