F/H,sector,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat,price
1,99.0,949,2,2,3,0.0,0,0.0,1.0,0.82
0,64.0,3240,3,3,2,3.0,0,2.0,1.0,11.95
1,7.0,493,2,2,2,0.0,0,0.0,0.0,0.28
0,63.0,2367,5,4,2,1.0,0,2.0,0.0,3.5
0,39.0,450,7,4,3,2.0,0,1.0,0.0,0.4
1,16.0,2660,5,4,3,2.0,1,1.0,0.0,3.72
1,100.0,1059,3,3,3,3.0,2,1.0,1.0,0.86
1,14.0,2950,4,5,3,0.0,0,1.0,1.0,3.45
1,60.0,539,1,1,2,1.0,0,0.0,1.0,0.65
0,83.0,2700,4,4,2,2.0,2,1.0,1.0,1.83
1,90.0,2905,4,5,3,0.0,2,1.0,1.0,3.85
1,7.0,1457,3,3,3,0.0,2,1.0,1.0,1.3
1,70.0,600,1,1,1,3.0,0,0.0,0.0,0.6
1,6.0,1130,3,4,3,0.0,2,1.0,1.0,1.1
1,90.0,3063,4,5,3,0.0,0,2.0,0.0,3.5
0,49.0,1570,3,3,3,4.0,0,1.0,1.0,1.27
1,16.0,2690,3,4,3,0.0,0,1.0,1.0,2.78
1,113.0,2037,4,4,3,0.0,0,0.0,0.0,1.44
1,102.0,2112,3,3,2,0.0,2,0.0,1.0,1.4
1,85.0,1569,3,3,1,0.0,2,1.0,1.0,1.32
0,34.0,1800,5,5,3,1.0,2,4.0,1.0,6.5
1,73.0,2291,3,3,3,4.0,0,0.0,0.0,3.78
1,115.0,1000,3,2,2,2.0,1,1.0,0.0,0.55
1,96.0,1620,3,3,3,0.0,2,0.0,1.0,1.3
1,111.0,2364,4,4,3,3.0,2,2.0,1.0,1.54
0,17.0,1337,3,1,0,3.0,0,0.0,0.0,2.0
0,17.0,1710,9,6,2,1.0,0,0.0,0.0,6.0
0,69.0,1125,9,9,3,2.0,2,1.0,0.0,5.0
1,2.0,1200,2,2,3,0.0,0,0.0,1.0,1.4
1,94.0,1450,3,4,3,0.0,2,1.0,1.0,1.25
1,48.0,925,2,2,1,0.0,2,0.0,1.0,0.33
1,64.0,2093,3,3,3,3.0,2,1.0,1.0,2.35
0,70.0,1512,5,6,3,0.0,2,2.0,0.0,3.25
1,7.0,554,2,2,2,2.0,0,0.0,0.0,0.37
1,108.0,1110,2,2,3,2.0,0,2.0,1.0,1.0
1,85.0,1668,3,3,2,0.0,0,0.0,1.0,1.68
1,87.0,1350,2,2,3,0.0,0,2.0,0.0,1.15
1,82.0,826,1,1,1,0.0,0,0.0,0.0,1.0
1,118.0,1630,3,5,3,0.0,0,2.0,0.0,1.08
1,118.0,1550,2,2,3,0.0,0,1.0,0.0,1.05
1,2.0,915,2,2,2,0.0,0,0.0,0.0,0.95
1,89.0,639,2,2,1,0.0,2,0.0,0.0,0.65
1,113.0,1734,4,4,3,0.0,0,0.0,1.0,0.75
1,104.0,2408,3,4,3,0.0,0,1.0,1.0,2.1
1,17.0,2091,3,4,2,1.0,0,2.0,0.0,1.15
1,70.0,2256,3,5,3,3.0,2,2.0,1.0,1.5
1,84.0,1180,2,2,3,4.0,0,1.0,1.0,0.82
1,76.0,1200,2,2,2,4.0,0,1.0,0.0,1.65
0,51.0,450,1,1,1,0.0,0,0.0,0.0,0.34
1,80.0,1653,2,2,3,4.0,0,0.0,0.0,2.25
1,105.0,1360,2,2,1,4.0,0,1.0,0.0,0.74
0,53.0,1440,4,4,2,1.0,0,1.0,0.0,2.35
1,104.0,2404,3,4,3,0.0,0,0.0,0.0,1.87
1,99.0,983,2,2,2,4.0,0,0.0,0.0,0.96
1,105.0,581,2,2,1,4.0,0,0.0,1.0,0.45
1,14.0,2950,4,5,3,0.0,0,1.0,1.0,3.4
1,8.0,1365,2,2,2,0.0,2,1.0,1.0,0.65
1,81.0,2200,3,4,3,0.0,2,1.0,1.0,3.45
1,30.0,3090,3,4,3,0.0,1,2.0,1.0,4.3
1,3.0,1792,2,2,3,0.0,2,0.0,1.0,1.05
1,8.0,1822,3,3,3,0.0,0,1.0,1.0,0.95
1,4.0,301,1,2,2,2.0,0,0.0,1.0,0.22
0,90.0,3653,5,5,3,0.0,0,0.0,0.0,3.1
1,44.0,531,2,2,1,2.0,0,0.0,0.0,0.42
0,60.0,1935,9,9,3,0.0,2,1.0,1.0,5.15
1,72.0,2864,4,5,3,0.0,2,4.0,0.0,4.85
1,49.0,590,2,3,2,4.0,0,0.0,0.0,0.45
0,64.0,3240,4,4,3,3.0,0,1.0,0.0,9.8
1,111.0,2354,4,4,3,3.0,0,1.0,0.0,1.7
1,33.0,6300,4,5,3,1.0,0,0.0,0.0,14.0
1,15.0,1800,2,2,3,0.0,2,2.0,1.0,2.5
0,62.0,1800,3,3,3,3.0,0,1.0,1.0,2.8
1,26.0,2350,4,6,3,0.0,0,3.0,0.0,1.6
1,80.0,1975,4,4,3,0.0,0,2.0,0.0,2.85
