F/H,sector,price,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat
1,81,0.82,949,2,2,3,New,0,0.0,Mid 
0,50,11.95,3240,3,3,2,Relatively Old,0,2.0,Mid 
1,107,0.28,493,2,2,2,New,0,0.0,Low
0,5,3.5,2367,5,4,2,Old,0,2.0,Low
0,3,0.4,450,7,4,3,Relatively New,0,1.0,Low
1,113,3.72,2660,5,4,3,Relatively New,1,1.0,Low
1,82,0.86,1059,3,3,3,Relatively Old,2,1.0,Mid 
1,111,3.45,2950,4,5,3,New,0,1.0,Mid 
1,47,0.65,539,1,1,2,Old,0,0.0,Mid 
0,67A,1.83,2700,4,4,2,Relatively New,2,1.0,Mid 
1,72,3.85,2905,4,5,3,New,2,1.0,Mid 
1,107,1.3,1457,3,3,3,New,2,1.0,Mid 
1,56,0.6,600,1,1,1,Relatively Old,0,0.0,Low
1,106,1.1,1130,3,4,3,New,2,1.0,Mid 
1,72,3.5,3063,4,5,3,New,0,2.0,Low
0,37D,1.27,1570,3,3,3,Under Construction,0,1.0,Mid 
1,113,2.78,2690,3,4,3,New,0,1.0,Mid 
1,92,1.44,2037,4,4,3,New,0,0.0,Low
1,83,1.4,2112,3,3,2,New,2,0.0,Mid 
1,69,1.32,1569,3,3,1,New,2,1.0,Mid 
0,25,6.5,1800,5,5,3,Old,2,4.0,Mid 
1,59,3.78,2291,3,3,3,Under Construction,0,0.0,Low
1,95,0.55,1000,3,2,2,Relatively New,1,1.0,Low
1,79,1.3,1620,3,3,3,New,2,0.0,Mid 
1,90,1.54,2364,4,4,3,Relatively Old,2,2.0,Mid 
0,12,2.0,1337,3,1,0,Relatively Old,0,0.0,Low
0,12,6.0,1710,9,6,2,Old,0,0.0,Low
0,55,5.0,1125,9,9,3,Relatively New,2,1.0,Low
1,102,1.4,1200,2,2,3,New,0,0.0,Mid 
1,77,1.25,1450,3,4,3,New,2,1.0,Mid 
1,37C,0.33,925,2,2,1,New,2,0.0,Mid 
1,50,2.35,2093,3,3,3,Relatively Old,2,1.0,Mid 
0,56,3.25,1512,5,6,3,New,2,2.0,Low
1,107,0.37,554,2,2,2,Relatively New,0,0.0,Low
1,89,1.0,1110,2,2,3,Relatively New,0,2.0,Mid 
1,69,1.68,1668,3,3,2,New,0,0.0,Mid 
1,70,1.15,1350,2,2,3,New,0,2.0,Low
1,67,1.0,826,1,1,1,New,0,0.0,Low
1,99A,1.08,1630,3,5,3,New,0,2.0,Low
1,99A,1.05,1550,2,2,3,New,0,1.0,Low
1,102,0.95,915,2,2,2,New,0,0.0,Low
1,71,0.65,639,2,2,1,New,2,0.0,Low
1,92,0.75,1734,4,4,3,New,0,0.0,Mid 
1,85,2.1,2408,3,4,3,New,0,1.0,Mid 
1,12,1.15,2091,3,4,2,Old,0,2.0,Low
1,56,1.5,2256,3,5,3,Relatively Old,2,2.0,Mid 
1,68,0.82,1180,2,2,3,Under Construction,0,1.0,Mid 
1,61,1.65,1200,2,2,2,Under Construction,0,1.0,Low
0,39,0.34,450,1,1,1,New,0,0.0,Low
1,65,2.25,1653,2,2,3,Under Construction,0,0.0,Low
1,86,0.74,1360,2,2,1,Under Construction,0,1.0,Low
0,4,2.35,1440,4,4,2,Old,0,1.0,Low
1,85,1.87,2404,3,4,3,New,0,0.0,Low
1,81,0.96,983,2,2,2,Under Construction,0,0.0,Low
1,86,0.45,581,2,2,1,Under Construction,0,0.0,Mid 
1,111,3.4,2950,4,5,3,New,0,1.0,Mid 
1,108,0.65,1365,2,2,2,New,2,1.0,Mid 
1,66,3.45,2200,3,4,3,New,2,1.0,Mid 
1,22,4.3,3090,3,4,3,New,1,2.0,Mid 
1,103,1.05,1792,2,2,3,New,2,0.0,Mid 
1,108,0.95,1822,3,3,3,New,0,1.0,Mid 
1,104,0.22,301,1,2,2,Relatively New,0,0.0,Mid 
0,72,3.1,3653,5,5,3,New,0,0.0,Low
1,36,0.42,531,2,2,1,Relatively New,0,0.0,Low
0,47,5.15,1935,9,9,3,New,2,1.0,Mid 
1,58,4.85,2864,4,5,3,New,2,4.0,Low
1,37D,0.45,590,2,3,2,Under Construction,0,0.0,Low
0,50,9.8,3240,4,4,3,Relatively Old,0,1.0,Low
1,90,1.7,2354,4,4,3,Relatively Old,0,1.0,Low
1,24,14.0,6300,4,5,3,Old,0,0.0,Low
1,112,2.5,1800,2,2,3,New,2,2.0,Mid 
0,49,2.8,1800,3,3,3,Relatively Old,0,1.0,Mid 
1,1A,1.6,2350,4,6,3,New,0,3.0,Low
1,65,2.85,1975,4,4,3,New,0,2.0,Low
1,65,5.9,3375,3,3,3,New,0,2.0,Mid 
1,74,2.7,2018,3,3,3,Relatively New,0,1.0,Mid 
0,31,3.5,1449,4,4,3,Old,2,1.0,Mid 
0,3,19.5,7200,8,9,3,Relatively New,0,3.0,Mid 
1,84,0.84,1725,3,3,3,Relatively New,0,1.0,Mid 
1,37C,1.0,2315,3,3,3,Under Construction,0,0.0,Mid 
1,12,1.15,2091,3,4,2,Old,0,2.0,Low
1,84,1.35,1400,3,3,3,New,0,1.0,Mid 
0,50,12.0,3240,5,6,3,Relatively Old,0,0.0,Mid 
1,60,2.82,2200,3,3,3,New,2,1.0,Mid 
1,92,1.55,1600,3,3,3,New,2,1.0,Mid 
0,106,5.6,4000,5,4,3,Relatively New,0,4.0,Mid 
1,102,1.8,1692,3,3,3,New,0,0.0,Low
1,10A,1.1,1650,3,3,3,Relatively Old,0,0.0,Low
1,79,1.4,1490,3,3,3,Relatively New,2,0.0,Mid 
1,67,2.98,2047,3,3,3,New,2,1.0,Low
1,99,3.2,3225,4,4,0,Under Construction,0,0.0,Low
1,113,2.75,2597,4,4,3,Under Construction,1,3.0,Mid 
0,8,0.59,585,2,2,2,Relatively Old,0,1.0,Low
1,76,1.92,1670,3,3,2,Under Construction,0,0.0,Mid 
0,46,2.2,909,3,3,2,Old,2,1.0,Mid 
1,37C,0.95,1030,2,2,3,New,2,2.0,Mid 
1,102,1.77,1925,3,3,3,New,0,0.0,Mid 
1,112,5.2,4848,4,6,3,New,2,2.0,Mid 
1,7,0.54,917,2,2,1,New,0,0.0,Mid 
1,83,0.6,1050,2,2,2,New,2,0.0,Mid 
1,33,1.08,823,2,2,3,Under Construction,0,0.0,Mid 
0,105,0.37,360,4,3,2,New,0,0.0,Low
1,90,1.42,2919,4,4,3,Relatively Old,0,2.0,Low
0,28,4.5,3240,4,4,0,New,0,0.0,Low
0,43,2.45,3159,4,4,3,Relatively Old,1,4.0,Mid 
1,109,2.25,2585,3,4,3,New,0,1.0,Mid 
1,102,1.9,1889,3,3,3,New,0,3.0,Low
1,65,2.86,2043,3,3,3,Under Construction,0,1.0,Low
0,3,3.65,1557,9,9,3,Relatively New,2,2.0,Mid 
1,84,0.49,1125,2,2,2,New,0,0.0,Mid 
